layout,consulta,mb_varrido,exec1_s,exec2_s,exec3_s,exec4_s,exec5_s,mediana_s,desvio_s
csv_base,Q1,1751.04,4.971,4.548,4.941,4.561,4.545,4.561,0.222
csv_particionado,Q1,1730.56,4.578,5.447,4.657,6.89,5.026,5.026,0.943
parquet_snappy,Q1,14.31,4.296,4.328,4.558,4.161,4.066,4.296,0.187
parquet_snappy_part,Q1,14.61,4.675,6.136,5.392,4.942,5.254,5.254,0.554
parquet_gzip,Q1,11.18,4.311,4.381,4.556,4.213,4.758,4.381,0.216
parquet_gzip_part,Q1,11.54,4.852,4.594,3.976,4.585,5.251,4.594,0.465
parquet_zstd,Q1,11.6,4.637,4.938,4.729,3.761,4.351,4.637,0.456
parquet_zstd_part,Q1,11.79,4.821,4.697,4.809,4.707,4.831,4.809,0.065
csv_base,Q2,1751.04,27.967,26.475,28.814,24.918,27.121,27.121,1.486
csv_particionado,Q2,1730.56,28.448,27.994,27.211,19.862,26.071,27.211,3.503
parquet_snappy,Q2,114.69,27.24,25.765,25.738,31.329,26.98,26.98,2.295
parquet_snappy_part,Q2,166.01,23.124,28.088,32.306,27.307,27.07,27.307,3.27
parquet_gzip,Q2,90.75,27.099,31.87,26.004,26.771,19.785,26.771,4.313
parquet_gzip_part,Q2,122.06,31.955,28.178,28.423,28.61,20.987,28.423,4.023
parquet_zstd,Q2,91.93,26.134,26.706,24.348,30.071,28.118,26.706,2.152
parquet_zstd_part,Q2,125.3,29.236,21.63,32.405,28.669,31.157,29.236,4.183
csv_base,Q3,1751.04,3.856,3.389,2.99,2.526,2.576,2.99,0.563
csv_particionado,Q3,47.73,1.041,1.284,0.958,0.71,0.923,0.958,0.208
parquet_snappy,Q3,12.9,0.924,1.018,0.864,1.12,0.774,0.924,0.134
parquet_snappy_part,Q3,0.3,0.822,0.68,0.659,0.636,0.606,0.659,0.084
parquet_gzip,Q3,9.96,1.206,0.969,1.3,0.716,1.205,1.205,0.237
parquet_gzip_part,Q3,0.23,0.987,0.884,0.557,0.594,0.626,0.626,0.193
parquet_zstd,Q3,10.4,0.929,0.995,1.057,1.023,1.31,1.023,0.146
parquet_zstd_part,Q3,0.23,0.812,0.681,0.638,0.607,0.606,0.638,0.086
csv_base,Q4,1751.04,3.266,4.527,3.012,2.966,2.758,3.012,0.706
csv_particionado,Q4,604.3,2.223,2.356,2.298,2.464,2.212,2.298,0.104
parquet_snappy,Q4,12.89,1.805,1.541,1.756,1.798,1.809,1.798,0.114
parquet_snappy_part,Q4,4.41,2.299,2.12,2.292,1.975,2.046,2.12,0.145
parquet_gzip,Q4,9.95,1.65,1.987,1.684,2.289,1.683,1.684,0.277
parquet_gzip_part,Q4,3.43,1.853,2.389,1.882,2.259,2.078,2.078,0.233
parquet_zstd,Q4,10.39,1.768,2.076,1.624,2.664,1.573,1.768,0.449
parquet_zstd_part,Q4,3.52,2.725,2.195,2.822,1.975,2.069,2.195,0.389
csv_base,Q5,1751.04,3.191,2.679,2.612,2.63,2.537,2.63,0.263
csv_particionado,Q5,1730.56,1.945,2.422,1.963,2.182,2.137,2.137,0.194
parquet_snappy,Q5,12.89,1.563,2.034,1.373,1.725,2.099,1.725,0.308
parquet_snappy_part,Q5,13.28,2.496,2.754,1.737,1.733,1.647,1.737,0.513
parquet_gzip,Q5,9.95,2.064,1.403,1.575,1.893,1.669,1.669,0.261
parquet_gzip_part,Q5,10.37,1.867,2.069,1.996,2.364,2.694,2.069,0.332
parquet_zstd,Q5,10.39,1.789,1.578,1.557,2.26,1.476,1.578,0.317
parquet_zstd_part,Q5,10.63,1.984,3.608,2.406,1.724,1.826,1.984,0.771
csv_base,Q6,1751.04,2.624,2.813,2.657,2.995,2.46,2.657,0.203
csv_particionado,Q6,1730.56,1.636,1.453,1.205,1.159,1.527,1.453,0.207
parquet_snappy,Q6,12.88,0.841,1.506,0.605,0.602,0.598,0.605,0.392
parquet_snappy_part,Q6,13.01,2.144,1.761,1.19,1.019,1.052,1.19,0.497
parquet_gzip,Q6,9.95,0.864,0.948,0.581,0.791,0.551,0.791,0.175
parquet_gzip_part,Q6,10.17,2.028,1.739,0.893,0.88,1.042,1.042,0.532
parquet_zstd,Q6,10.38,0.782,0.734,0.903,0.958,0.624,0.782,0.133
parquet_zstd_part,Q6,10.43,1.664,1.563,0.945,1.129,1.831,1.563,0.374
parquet_gzip_unico,Q1,9.55,5.923,5.258,4.669,4.672,4.833,4.833,0.533
parquet_gzip_unico,Q2,84.09,29.188,33.085,27.517,27.642,31.99,29.188,2.539
parquet_gzip_unico,Q3,8.37,1.248,1.27,1.579,1.295,1.414,1.295,0.138
parquet_gzip_unico,Q4,8.37,2.007,2.13,2.039,1.945,2.289,2.039,0.134
parquet_gzip_unico,Q5,8.36,1.981,2.051,1.853,1.723,1.655,1.853,0.167
parquet_gzip_unico,Q6,8.36,1.342,0.883,0.973,0.905,0.875,0.905,0.197
parquet_gzip_part_unico,Q1,10.88,5.532,5.273,4.57,4.719,4.784,4.784,0.408
parquet_gzip_part_unico,Q2,92.32,31.059,28.111,27.625,31.541,27.132,28.111,2.051
parquet_gzip_part_unico,Q3,0.224853515625,0.788,1.04,0.718,0.726,0.664,0.726,0.148
parquet_gzip_part_unico,Q4,3.26,1.885,1.823,1.674,2.33,1.962,1.885,0.245
parquet_gzip_part_unico,Q5,9.68,1.717,1.58,2.052,1.619,2.02,1.717,0.224
parquet_gzip_part_unico,Q6,9.66,0.984,1.482,1.93,0.981,2.004,1.482,0.493
