layout,consulta,mb_varrido,tempo_mediana_s,desvio_s
csv_base,Q1,1751.04,4.561,0.222
csv_particionado,Q1,1730.56,5.026,0.943
parquet_snappy,Q1,14.31,4.296,0.187
parquet_snappy_part,Q1,14.61,5.254,0.554
parquet_gzip,Q1,11.18,4.381,0.216
parquet_gzip_part,Q1,11.54,4.594,0.465
parquet_zstd,Q1,11.6,4.637,0.456
parquet_zstd_part,Q1,11.79,4.809,0.065
csv_base,Q2,1751.04,27.121,1.486
csv_particionado,Q2,1730.56,27.211,3.503
parquet_snappy,Q2,114.69,26.98,2.295
parquet_snappy_part,Q2,166.01,27.307,3.27
parquet_gzip,Q2,90.75,26.771,4.313
parquet_gzip_part,Q2,122.06,28.423,4.023
parquet_zstd,Q2,91.93,26.706,2.152
parquet_zstd_part,Q2,125.3,29.236,4.183
csv_base,Q3,1751.04,2.99,0.563
csv_particionado,Q3,47.73,0.958,0.208
parquet_snappy,Q3,12.9,0.924,0.134
parquet_snappy_part,Q3,0.3,0.659,0.084
parquet_gzip,Q3,9.96,1.205,0.237
parquet_gzip_part,Q3,0.23,0.626,0.193
parquet_zstd,Q3,10.4,1.023,0.146
parquet_zstd_part,Q3,0.23,0.638,0.086
csv_base,Q4,1751.04,3.012,0.706
csv_particionado,Q4,604.3,2.298,0.104
parquet_snappy,Q4,12.89,1.798,0.114
parquet_snappy_part,Q4,4.41,2.12,0.145
parquet_gzip,Q4,9.95,1.684,0.277
parquet_gzip_part,Q4,3.43,2.078,0.233
parquet_zstd,Q4,10.39,1.768,0.449
parquet_zstd_part,Q4,3.52,2.195,0.389
csv_base,Q5,1751.04,2.63,0.263
csv_particionado,Q5,1730.56,2.137,0.194
parquet_snappy,Q5,12.89,1.725,0.308
parquet_snappy_part,Q5,13.28,1.737,0.513
parquet_gzip,Q5,9.95,1.669,0.261
parquet_gzip_part,Q5,10.37,2.069,0.332
parquet_zstd,Q5,10.39,1.578,0.317
parquet_zstd_part,Q5,10.63,1.984,0.771
csv_base,Q6,1751.04,2.657,0.203
csv_particionado,Q6,1730.56,1.453,0.207
parquet_snappy,Q6,12.88,0.605,0.392
parquet_snappy_part,Q6,13.01,1.19,0.497
parquet_gzip,Q6,9.95,0.791,0.175
parquet_gzip_part,Q6,10.17,1.042,0.532
parquet_zstd,Q6,10.38,0.782,0.133
parquet_zstd_part,Q6,10.43,1.563,0.374
parquet_gzip_unico,Q1,9.55,4.833,0.533
parquet_gzip_unico,Q2,84.09,29.188,2.539
parquet_gzip_unico,Q3,8.37,1.295,0.138
parquet_gzip_unico,Q4,8.37,2.039,0.134
parquet_gzip_unico,Q5,8.36,1.853,0.167
parquet_gzip_unico,Q6,8.36,0.905,0.197
parquet_gzip_part_unico,Q1,10.88,4.784,0.408
parquet_gzip_part_unico,Q2,92.32,28.111,2.051
parquet_gzip_part_unico,Q3,0.224853515625,0.726,0.148
parquet_gzip_part_unico,Q4,3.26,1.885,0.245
parquet_gzip_part_unico,Q5,9.68,1.717,0.224
parquet_gzip_part_unico,Q6,9.66,1.482,0.493
